sourceId,title,type,notes
F001,"Pagina principal Cursos Mandatorios","ENLACE","Fuente publica principal para cursos, estandares minimos, repositorio de preguntas y normatividad enlazada."
F002,"Repositorio evaluacion teorica virtual","PDF","Documento publico con 100 preguntas. No se carga masivamente hasta verificar clave de respuestas."
F003,"Resolucion 00988 del 14 abril 2025","PDF","Documento normativo enlazado por la pagina oficial."
F004,"Acuerdo 0005 Reglamento capacitacion y entrenamiento","PDF","Documento normativo enlazado por la pagina oficial."
