courseName,standardOrder,standardText,sourceId
"Atencion al ciudadano",1,"Realizar atencion promoviendo comunicacion asertiva.",F001
"Atencion al ciudadano",2,"Orientar requerimientos mediante portafolio de servicios y tramites.",F001
"Derechos Humanos",3,"Actuar con respeto y proteccion de derechos humanos.",F001
"Uso de la fuerza",4,"Aplicar el modelo diferenciado y proporcionado de la fuerza.",F001
"Procedimientos de policia",5,"Emplear dialogo o mediacion policial para solucionar conflictos.",F001
"Procedimientos de policia",6,"Diligenciar documentos y formatos establecidos.",F001
"Procedimientos de policia",7,"Aplicar procedimientos conforme al marco normativo vigente.",F001
"Procedimientos de policia",8,"Portar y usar uniforme y dotacion entregada para la actividad.",F001
